user_id,final_outbreak,std_outbreak,attack_rate,epidemic_probability,peak_infection,time_to_peak,duration,R0,growth_rate,strength,pagerank,eigenvector_centrality,approximate_current_flow_betweenness,clustering
1710,976.8,325.28658134020833,0.8442523768366464,0.9,833.1,3.45,46.45,8.75,1.0715142890502838,503.0445658915721,0.0007219861171424055,0.024173567262034696,0.000867167507662201,0.726237794241993
506,976.8,325.27920314708103,0.8442523768366464,0.9,822.95,3.05,45.7,13.1,0.940293275302969,677.4012038272889,0.0009330020124991242,0.03105304244692529,0.001047112785491865,0.7297643804705655
1998,976.75,325.2632587612686,0.844209161624892,0.9,850.6,3.6,45.8,4.6,1.2436099246058145,263.6396943578779,0.0004401169663244316,0.01332763847169689,0.0004784495944496007,0.7083838042096612
4018,976.75,325.2710984701838,0.844209161624892,0.9,823.95,3.1,48.05,14.65,0.9189356087882068,743.2656706438265,0.00101636599775319,0.03336496319563802,0.0011673494431500221,0.7145520428504059
4817,976.75,325.2658720185688,0.844209161624892,0.9,826.35,3.55,46.55,7.95,1.0911950943514972,401.41522003933795,0.0007861933046403227,0.019697872189426476,0.0007299621371693556,0.7107019462496408
2181,976.75,325.2606454829726,0.844209161624892,0.9,828.4,3.05,51.9,14.85,0.9126846628089766,874.1277968457074,0.00121612974117888,0.03731648870378399,0.001532348571713273,0.6636399816718903
2538,976.7,325.2497655648655,0.8441659464131375,0.9,825.2,3.25,47.25,12.5,0.9671451580428756,696.1341621609996,0.0009563591400153308,0.03173542607936514,0.0010994545066649072,0.7264696265847198
3170,976.7,325.25038047633393,0.8441659464131375,0.9,827.85,3.5,46.3,8.95,1.0583764718950999,524.3669584303053,0.0007473055358341652,0.025083351299457674,0.0008906761583827002,0.7315591637720689
3742,976.7,325.24069548566644,0.8441659464131375,0.9,822.3,3.0,46.5,13.75,0.9237281035640059,765.9073713293097,0.0010454237598297935,0.03409555810024313,0.0012194481443801397,0.7058877347081661
5394,976.65,325.24256717102696,0.8441227312013828,0.9,817.35,3.35,49.45,10.55,0.9965068986048087,521.5650478318693,0.0007440825980764991,0.024950991537802447,0.0009264779377280252,0.7295954841845771
